Org Name,Endpoint,Audience,Route
AllCare Medical Group  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359845,Provider,Direct
Allcare TEST,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359843T,Provider,Direct
Allen Orthopedics Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0006195,Provider,Direct
Allen Rosenbuam Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77532,Provider,Direct
Allergy & Asthma Specialists Of North Florida  P.A.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10034273,Provider,Direct
Allergy and Asthma Center Of The Rockies,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/70893,Provider,Direct
Allergy Assoc Of NH,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10030374,Provider,Direct
Allergy Asthma and Immunology Ctr Of Ak,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/69103,Provider,Direct
Allergy Asthma Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/56854,Provider,Direct
Allergy Asthma Immunology of the Rockies,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/60222,Provider,Direct
ALLERGY  ASTHMA AND SINUS CENTER P.C.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10052501,Provider,Direct
Allergy  Asthma  Sinus Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10021407,Provider,Direct
Alley Medical Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57844,Provider,Direct
Alliance Xpress Care LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10129099,Provider,Direct
Alma Medical Group,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76027,Provider,Direct
Alonzo Flores Md Dba Orange Family,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73542,Provider,Direct
Alphonso Ciervo Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/70036HJ,Provider,Direct
Amarillo Family Physicians,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10037240,Provider,Direct
Ambulatory Foot Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359869,Provider,Direct
American Healthcare Systems  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10038178,Provider,Direct
American Heart Center Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/8948,Provider,Direct
Americas Nurses,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10515883,Provider,Direct
Amins Family Practice,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10044751,Provider,Direct
Amir A Malik Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77442,Provider,Direct
Amir Agha,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10062429,Provider,Direct
Amy Brenner MD  Associates LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10079236,Provider,Direct
Andres Guillermo Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/72437,Provider,Direct
Andrew Kim MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10062405,Provider,Direct
Ankle  Foot Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73639,Provider,Direct
Anniston Cardiology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0011776,Provider,Direct
Anniston Medical Clinic PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10009389,Provider,Direct
Antelope Valley Cardiology A,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10059034,Provider,Direct
Anthony Decotis Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73388,Provider,Direct
Anthony Martin Mills MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10037905,Provider,Direct
Apex Health and Wellness,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10359846,Provider,Direct
APS040D Base EMR,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/APS040D,Provider,Direct
APS050S Base EMR,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/APS050S,Provider,Direct
APS051D Practice,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/APS051D,Provider,Direct
APS053S Practice,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/APS053S,Provider,Direct
Arbor Family Medicine PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10033279,Provider,Direct
Arkansas Orthopaedic Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/4176,Provider,Direct
Armando Franco Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76308,Provider,Direct
Arr Alinsod Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76770,Provider,Direct
Arthritis  Pain Assoc Of Pg County,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10040076,Provider,Direct
Arthritis & Osteoporosis Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10063075,Provider,Direct
Arthritis & Pain Associates Of P.G. County,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10773,Provider,Direct
